対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名	分類	採算科目名_経費合計
202607	006090100	65	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	教育研修費
202607	006090100	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	廃棄損
202607	006090100	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	雑給
202607	006090100	68	社内金利（固定資産）	17000.0	17000.0	10712.0	0.0	63.0	63.0	イノチオ農芸本社	経費	社内金利（固定資産）
202607	006090100	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	社内金利（売掛金）
202607	006090100	70	グループ共通	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	グループ共通
202607	006090100	71	差引収益	-194000.0	-194000.0	-161469.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	72	差引比率	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090100	73	総時間	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090100	74	定時間	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社	時間	
202607	006090100	75	残業時間	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社	時間	
202607	006090100	76	移動時間	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社	時間	
202607	006090100	77	当月時間当り	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090100	78	人員	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090200	1	総受注高	0.0	0.0	0.0		0.0	0.0	本社収支	受注	
202607	006090200	2	総売上高	0.0	0.0	0.0		0.0	0.0	本社収支		
202607	006090200	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	売上	
202607	006090200	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	売上	
202607	006090200	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	売上	
202607	006090200	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	売上	
202607	006090200	8	売上原価	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	12	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	14	総収益	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	15	経費合計	-309000.0	-309000.0	-293751.0	0.0	0.0	0.0	本社収支		
202607	006090200	16	経費合計（原価）	0.0	0.0	0.0	0.0	0.0	0.0	本社収支		
202607	006090200	17	種苗費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	種苗費*
202607	006090200	18	肥料費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	肥料費*
202607	006090200	19	培土費用*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	培土費用*
202607	006090200	20	農薬衛生費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	農薬衛生費*
202607	006090200	21	農具費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	農具費*
202607	006090200	22	諸材料費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	諸材料費*
202607	006090200	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	その他仕入高*
202607	006090200	24	減価償却費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	減価償却費*
202607	006090200	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	車両費*
202607	006090200	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	水道光熱費*
202607	006090200	27	動力費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	動力費*
202607	006090200	28	燃料費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	燃料費*
202607	006090200	29	賃借料*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	賃借料*
202607	006090200	30	修繕費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	修繕費*
202607	006090200	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	診断料*
202607	006090200	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	租税公課*
202607	006090200	33	業務委託費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	業務委託費*
202607	006090200	34	雑費*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	雑費*
202607	006090200	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	雑給*
202607	006090200	36	経費合計（販管費）	-309000.0	-309000.0	-293751.0	0.0	0.0	0.0	本社収支		
202607	006090200	37	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	減価償却費
202607	006090200	38	車両費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	車両費
202607	006090200	39	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	旅費交通費
202607	006090200	40	通信費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	通信費
202607	006090200	41	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	水道光熱費
202607	006090200	42	事務用品費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	事務用品費
202607	006090200	43	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	消耗品費
202607	006090200	44	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	廃棄物処理料
202607	006090200	45	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	広告宣伝費
202607	006090200	46	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	接待交際費
202607	006090200	47	賃借料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	賃借料
202607	006090200	48	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	賃貸料収入
202607	006090200	49	修繕費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	修繕費
202607	006090200	50	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	支払リース料
202607	006090200	51	保険料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	保険料
202607	006090200	52	支払報酬	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	支払報酬
202607	006090200	53	支払手数料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	支払手数料
202607	006090200	54	診断料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	診断料
202607	006090200	55	諸会費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	諸会費
202607	006090200	56	会議費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	会議費
202607	006090200	57	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	寄付金
202607	006090200	58	租税公課	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	租税公課
202607	006090200	59	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	業務委託費
202607	006090200	60	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	業務受託収入
202607	006090200	61	情報機器利用料	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	情報機器利用料
202607	006090200	62	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	貸倒金
202607	006090200	63	雑費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	雑費
202607	006090200	64	福利消耗品費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	福利消耗品費
202607	006090200	65	教育研修費	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	教育研修費
202607	006090200	66	廃棄損	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	廃棄損
202607	006090200	67	雑給	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	雑給
202607	006090200	68	社内金利（固定資産）	-309000.0	-309000.0	-293751.0	0.0	0.0	0.0	本社収支	経費	社内金利（固定資産）
202607	006090200	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	社内金利（売掛金）
202607	006090200	70	グループ共通	0.0	0.0	0.0	0.0	0.0	0.0	本社収支	経費	グループ共通
202607	006090200	71	差引収益	309000.0	309000.0	293751.0	0.0	95.0	95.0	本社収支		
202607	006090200	72	差引比率	0.0	0.0	0.0		0.0	0.0	本社収支		
202607	006090200	73	総時間	6.0	6.0	15.0		250.0	250.0	本社収支		
202607	006090200	74	定時間	0.0	0.0	0.0		0.0	0.0	本社収支	時間	
202607	006090200	75	残業時間	0.0	0.0	0.0		0.0	0.0	本社収支	時間	
202607	006090200	76	移動時間	6.0	6.0	15.0		250.0	250.0	本社収支	時間	
202607	006090200	77	当月時間当り	51500.0	51500.0	19583.4		38.0	38.0	本社収支		
202607	006090200	78	人員	0.0	0.0	0.0		0.0	0.0	本社収支		
202607	230F10100	1	総受注高	12020000.0	10000000.0	10013775.0		100.1	83.3	種苗課	受注	
202607	230F10100	2	総売上高	12020000.0	10000000.0	10013775.0		100.1	83.3	種苗課		
202607	230F10100	3	売上高	12020000.0	10000000.0	10013775.0	100.0	100.1	83.3	種苗課	売上	
202607	230F10100	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0	種苗課	売上	
202607	230F10100	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0	種苗課	売上	
202607	230F10100	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0	種苗課	売上	
202607	230F10100	8	売上原価	150000.0	150000.0	119800.0	1.1	79.8	79.8	種苗課		
202607	230F10100	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0	種苗課		
202607	230F10100	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0	種苗課		
202607	230F10100	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0	種苗課		
202607	230F10100	12	荷造運搬費	150000.0	150000.0	119800.0	1.1	79.8	79.8	種苗課		
202607	230F10100	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	種苗課		
202607	230F10100	14	総収益	11870000.0	9850000.0	9893975.0	98.8	100.4	83.3	種苗課		
